time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-04-15'],[12.6],[5.7],[10.3],[3.5],['2022-04-15T05:40'],['2022-04-15T19:37'],[15.49],[0.0],[0.0],[0.0],[0.0],[11.5],[23.4],[53],[2.04]
['2022-04-05'],[12.0],[9.0],[8.6],[6.0],['2022-04-05T06:02'],['2022-04-05T19:20'],[6.22],[4.5],[4.5],[0.0],[18.0],[24.1],[49.7],[184],[0.97]
['2022-07-16'],[21.2],[12.6],[20.3],[11.3],['2022-07-16T04:37'],['2022-07-16T20:52'],[26.59],[0.0],[0.0],[0.0],[0.0],[16.2],[35.3],[119],[4.74]
['2022-05-03'],[15.3],[4.3],[13.4],[1.9],['2022-05-03T05:03'],['2022-05-03T20:07'],[15.49],[0.2],[0.2],[0.0],[2.0],[15.9],[28.8],[89],[2.51]
['2022-03-31'],[5.1],[1.3],[1.3],[-3.8],['2022-03-31T06:14'],['2022-03-31T19:11'],[7.57],[10.5],[8.3],[1.54],[23.0],[23.2],[41.8],[76],[0.79]
['2022-10-12'],[14.7],[3.4],[12.6],[0.4],['2022-10-12T06:56'],['2022-10-12T17:54'],[9.17],[0.0],[0.0],[0.0],[0.0],[10.6],[23.8],[277],[1.31]
['2022-07-06'],[20.8],[10.1],[19.4],[8.5],['2022-07-06T04:26'],['2022-07-06T21:00'],[19.22],[0.9],[0.9],[0.0],[2.0],[15.5],[29.9],[174],[3.68]
['2022-07-18'],[32.4],[13.2],[32.6],[12.3],['2022-07-18T04:39'],['2022-07-18T20:50'],[26.96],[0.0],[0.0],[0.0],[0.0],[10.1],[18.4],[317],[5.52]
['2022-10-21'],[19.3],[13.3],[19.3],[12.7],['2022-10-21T07:12'],['2022-10-21T17:35'],[4.5],[0.3],[0.3],[0.0],[2.0],[15.0],[35.3],[275],[0.86]
['2022-04-07'],[11.4],[6.7],[4.7],[1.3],['2022-04-07T05:58'],['2022-04-07T19:23'],[13.26],[13.5],[13.5],[0.0],[22.0],[43.6],[96.5],[204],[2.19]
['2022-08-12'],[30.8],[16.7],[30.0],[15.8],['2022-08-12T05:17'],['2022-08-12T20:10'],[24.02],[0.0],[0.0],[0.0],[0.0],[12.8],[28.1],[15],[5.88]
['2022-04-19'],[18.1],[5.1],[15.6],[2.3],['2022-04-19T05:31'],['2022-04-19T19:43'],[21.46],[0.0],[0.0],[0.0],[0.0],[15.9],[31.7],[23],[3.91]
